"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,3):Position) (mm)","Load(8800 (0,3):Load) (kN)","Extension mm from Extensometer (mm)",
1.314,1.314,1,1,1,1,0.191440363079309,7.21560716629028,0.0766563469186783,
1.324,1.324,1,1,1,1,0.192294237059355,7.27378129959106,0.0771808678294182,
1.334,1.334,1,1,1,1,0.194247246694565,7.32396841049194,0.0771665627136707,
1.344,1.344,1,1,1,1,0.195891408294439,7.37804174423218,0.0815486965043068,
1.354,1.354,1,1,1,1,0.196145753735304,7.41976499557495,0.0835561810808658,
1.364,1.364,1,1,1,1,0.196427350473404,7.47581720352173,0.0781345422125816,
1.374,1.374,1,1,1,1,0.200315202212334,7.52686262130737,0.0773763710779667,
1.384,1.384,1,1,1,1,0.20205020146966,7.58070945739746,0.0761652046113491,
1.394,1.394,1,1,1,1,0.202586143648624,7.62311220169067,0.0770139748123646,
1.404,1.404,1,1,1,1,0.20569279153347,7.66857862472534,0.0827789364585876,
1.415,1.415,1,1,1,1,0.205066011697054,7.73088932037354,0.0804281291040897,
1.425,1.425,1,1,1,1,0.206982686269283,7.77713060379028,0.0775146538635254,
1.435,1.435,1,1,1,1,0.209090119922161,7.82188177108765,0.0847196638283253,
1.445,1.445,1,1,1,1,0.211170302277803,7.87129402160645,0.0901508394404411,
1.455,1.455,1,1,1,1,0.2115518204391,7.92831182479858,0.0778770501291275,
1.465,1.465,1,1,1,1,0.21320506580472,7.97706842422485,0.0861930907503128,
1.475,1.475,1,1,1,1,0.215321583223343,8.03356170654297,0.0791263635710716,
1.485,1.485,1,1,1,1,0.216729566913843,8.08149576187134,0.0864172042303562,
1.495,1.495,1,1,1,1,0.216684148085117,8.1428050994873,0.0834131299233913,
1.505,1.505,1,1,1,1,0.220617418652773,8.19662809371948,0.0743866018867493,
1.515,1.515,1,1,1,1,0.220226816725731,8.25217962265015,0.080785756997776,
1.525,1.525,1,1,1,1,0.222488674396276,8.31307172775269,0.0788068826527119,
1.535,1.535,1,1,1,1,0.224087417167425,8.37143659591675,0.088405615319252,
1.546,1.546,1,1,1,1,0.226240269649029,8.43065977096558,0.0733804754125118,
1.556,1.556,1,1,1,1,0.227784509825706,8.48573446273804,0.0948619908932686,
1.566,1.566,1,1,1,1,0.229165242218971,8.54140520095825,0.0824499187963963,
1.576,1.576,1,1,1,1,0.231181838214397,8.59090089797974,0.0890779557593822,
1.586,1.586,1,1,1,1,0.233189350444078,8.65169763565063,0.0905942980286121,
1.596,1.596,1,1,1,1,0.233670790028572,8.69351625442505,0.0907516543018341,
1.606,1.606,1,1,1,1,0.23551479447484,8.74323844909668,0.0848150312666416,
1.616,1.616,1,1,1,1,0.236732019084692,8.7902307510376,0.0951004094890594,
1.626,1.626,1,1,1,1,0.239411729979515,8.8456392288208,0.0909233156908035,
1.636,1.636,1,1,1,1,0.241273901957273,8.88403654098511,0.0913333956755638,
1.646,1.646,1,1,1,1,0.242918063557148,8.92950296401978,0.0896787706207752,
1.656,1.656,1,1,1,1,0.242118692171574,8.974289894104,0.0938987797662735,
1.667,1.667,1,1,1,1,0.24246387526989,9.015953540802,0.105752952348995,
1.677,1.677,1,1,1,1,0.245207172524929,9.05914306640625,0.0945711202064037,
1.687,1.687,1,1,1,1,0.247623454213142,9.10584926605225,0.0959014959709167,
1.697,1.697,1,1,1,1,0.249004186606407,9.14425849914551,0.0941801137093067,
1.707,1.707,1,1,1,1,0.249839893054962,9.18513536453247,0.100016600934267,
1.717,1.717,1,1,1,1,0.251256960511208,9.23055410385132,0.0922346179676533,
1.727,1.727,1,1,1,1,0.253455231821537,9.27448272705078,0.0935697621040821,
1.737,1.737,1,1,1,1,0.255317403799295,9.32415723800659,0.096807486634922,
1.747,1.747,1,1,1,1,0.255417325222492,9.36659574508667,0.0967979498910904,
1.757,1.757,1,1,1,1,0.258887323737144,9.44118499755859,0.100927359970188,
1.767,1.767,1,1,1,1,0.259550438636541,9.49294567108154,0.102477080842829,
1.777,1.777,1,1,1,1,0.261494364506006,9.55873727798462,0.100393302315617,
1.787,1.787,1,1,1,1,0.263093107277155,9.6193790435791,0.0951051778609753,
1.798,1.798,1,1,1,1,0.266036247378588,9.68781709671021,0.0994014809571266,
1.808,1.808,1,1,1,1,0.26781666546464,9.73715782165527,0.100016600934267,
1.818,1.818,1,1,1,1,0.269460827064514,9.80031490325928,0.104789741222,
1.828,1.828,1,1,1,1,0.271032318538427,9.84817743301392,0.0955152578457355,
1.838,1.838,1,1,1,1,0.268516115427017,9.89712476730347,0.102920539431,
